workload,seed,comparison,feature,ks,warning,outside_train_range_ratio
streamcluster_pressure,42,A_vs_B_split_drift,selector_r_lru,0.0,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,B_t,0.0,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,K_t,0.0,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,decision_interval,0.07088500187580415,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,dirty_ratio,0.34877781831448373,large,0.3487778183144838
streamcluster_pressure,42,A_vs_C_total_shift,dirty_state,0.0,binary,
streamcluster_pressure,42,A_vs_C_total_shift,normalized_residency,0.0,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,original_r_lru,0.05885334801267285,none,0.008710324699014957
streamcluster_pressure,42,A_vs_C_total_shift,recent_frequency,0.0,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,selector_clean,0.007617896110634903,binary,
streamcluster_pressure,42,A_vs_C_total_shift,selector_g_delta,0.014355352068212257,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,selector_one_minus_g_a,0.0006465712815091895,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,selector_one_minus_g_w,0.00057851031876811,none,0.0
streamcluster_pressure,42,A_vs_C_total_shift,selector_r_lru,0.0,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,B_t,0.0,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,K_t,0.0,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,decision_interval,0.052785382967684924,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,dirty_ratio,0.34033603146960156,large,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,dirty_state,0.0,binary,
streamcluster_pressure,42,B_vs_C_policy_shift,normalized_residency,0.0,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,original_r_lru,0.057668363818632995,none,0.008710324699014957
streamcluster_pressure,42,B_vs_C_policy_shift,recent_frequency,0.0,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,selector_clean,0.007252326643664597,binary,
streamcluster_pressure,42,B_vs_C_policy_shift,selector_g_delta,0.011436809615018584,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,selector_one_minus_g_a,0.00042560466813462705,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,selector_one_minus_g_w,0.00041783293464634635,none,0.0
streamcluster_pressure,42,B_vs_C_policy_shift,selector_r_lru,0.0,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,B_t,0.0,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,K_t,0.0,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,decision_interval,0.01809961890811923,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,dirty_ratio,0.014954659041214693,none,0.008441786844882167
streamcluster_pressure,2026,A_vs_B_split_drift,dirty_state,0.0,binary,
streamcluster_pressure,2026,A_vs_B_split_drift,normalized_residency,0.0,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,original_r_lru,0.0013050169735915936,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,recent_frequency,0.0,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,selector_clean,0.0003655694669703058,binary,
streamcluster_pressure,2026,A_vs_B_split_drift,selector_g_delta,0.005767636371665441,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,selector_one_minus_g_a,0.0006659324421291329,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,selector_one_minus_g_w,0.0001606773841217636,none,0.0
streamcluster_pressure,2026,A_vs_B_split_drift,selector_r_lru,0.0,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,B_t,0.0,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,K_t,0.0,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,decision_interval,0.07088500187580415,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,dirty_ratio,0.34877781831448373,large,0.3487778183144838
streamcluster_pressure,2026,A_vs_C_total_shift,dirty_state,0.0,binary,
streamcluster_pressure,2026,A_vs_C_total_shift,normalized_residency,0.0,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,original_r_lru,0.05885334801267285,none,0.008710324699014957
streamcluster_pressure,2026,A_vs_C_total_shift,recent_frequency,0.0,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,selector_clean,0.007617896110634903,binary,
streamcluster_pressure,2026,A_vs_C_total_shift,selector_g_delta,0.015273128427205296,none,0.0
